,dia_no,turn_no,context,response,dia
0,0,0,,"user: I'm looking for a hotel that is cheap but in the type of hotel and offers free parking. I want to book it for 6 people for 3 nights starting from Tuesday. If not, then for 2 nights. Can you help me with that?","user: I'm looking for a hotel that is cheap but in the type of hotel and offers free parking. I want to book it for 6 people for 3 nights starting from Tuesday. If not, then for 2 nights. Can you help me with that?"
1,0,1,"user: am looking for a place to to stay that has cheap price range it should be in a type of hotel
system: Okay, do you have a specific area you want to stay in?","user: Yes, I am looking for a hotel in the downtown area.","user: am looking for a place to to stay that has cheap price range it should be in a type of hotel
system: Okay, do you have a specific area you want to stay in?
user: Yes, I am looking for a hotel in the downtown area."
2,0,2,"user: am looking for a place to to stay that has cheap price range it should be in a type of hotel
system: Okay, do you have a specific area you want to stay in?
user: no, i just need to make sure it's cheap. oh, and i need parking
system: I found 1 cheap hotel for you that includes parking. Do you like me to book it?","user: Yes, I would like to book the hotel for 6 people and 3 nights starting from Tuesday.","user: am looking for a place to to stay that has cheap price range it should be in a type of hotel
system: Okay, do you have a specific area you want to stay in?
user: no, i just need to make sure it's cheap. oh, and i need parking
system: I found 1 cheap hotel for you that includes parking. Do you like me to book it?
user: Yes, I would like to book the hotel for 6 people and 3 nights starting from Tuesday."
3,0,3,"user: am looking for a place to to stay that has cheap price range it should be in a type of hotel
system: Okay, do you have a specific area you want to stay in?
user: no, i just need to make sure it's cheap. oh, and i need parking
system: I found 1 cheap hotel for you that includes parking. Do you like me to book it?
user: Yes, please. 6 people 3 nights starting on tuesday.
system: I am sorry but I wasn't able to book that for you for Tuesday. Is there another day you would like to stay or perhaps a shorter stay?",user: How about booking for 2 nights instead starting on Tuesday?,"user: am looking for a place to to stay that has cheap price range it should be in a type of hotel
system: Okay, do you have a specific area you want to stay in?
user: no, i just need to make sure it's cheap. oh, and i need parking
system: I found 1 cheap hotel for you that includes parking. Do you like me to book it?
user: Yes, please. 6 people 3 nights starting on tuesday.
system: I am sorry but I wasn't able to book that for you for Tuesday. Is there another day you would like to stay or perhaps a shorter stay?
user: How about booking for 2 nights instead starting on Tuesday?"
4,0,4,"user: am looking for a place to to stay that has cheap price range it should be in a type of hotel
system: Okay, do you have a specific area you want to stay in?
user: no, i just need to make sure it's cheap. oh, and i need parking
system: I found 1 cheap hotel for you that includes parking. Do you like me to book it?
user: Yes, please. 6 people 3 nights starting on tuesday.
system: I am sorry but I wasn't able to book that for you for Tuesday. Is there another day you would like to stay or perhaps a shorter stay?
user: how about only 2 nights.
system: Booking was successful. Reference number is : 7GAWK763. Anything else I can do for you?",user: Can you provide me with the address and contact information for the hotel I just booked for 2 nights?,"user: am looking for a place to to stay that has cheap price range it should be in a type of hotel
system: Okay, do you have a specific area you want to stay in?
user: no, i just need to make sure it's cheap. oh, and i need parking
system: I found 1 cheap hotel for you that includes parking. Do you like me to book it?
user: Yes, please. 6 people 3 nights starting on tuesday.
system: I am sorry but I wasn't able to book that for you for Tuesday. Is there another day you would like to stay or perhaps a shorter stay?
user: how about only 2 nights.
system: Booking was successful. Reference number is : 7GAWK763. Anything else I can do for you?
user: Can you provide me with the address and contact information for the hotel I just booked for 2 nights?"
5,1,0,,user: I am looking for a place to stay in the north with free parking. It should be a guesthouse.,user: I am looking for a place to stay in the north with free parking. It should be a guesthouse.
6,1,1,"user: I need a place to stay in the north please.
system: There are 13 places to stay in the north. Do you have any other criteria?","user: Yes, I am looking for a guesthouse in the north that includes free parking.","user: I need a place to stay in the north please.
system: There are 13 places to stay in the north. Do you have any other criteria?
user: Yes, I am looking for a guesthouse in the north that includes free parking."
7,1,2,"user: I need a place to stay in the north please.
system: There are 13 places to stay in the north. Do you have any other criteria?
user: I don't want to have to pay for parking.
system: I have 5 different gueshouses listed. For what day and for how many please?","user: I would like to book a guesthouse for 3 people and 2 nights starting from Wednesday, with free parking included.","user: I need a place to stay in the north please.
system: There are 13 places to stay in the north. Do you have any other criteria?
user: I don't want to have to pay for parking.
system: I have 5 different gueshouses listed. For what day and for how many please?
user: I would like to book a guesthouse for 3 people and 2 nights starting from Wednesday, with free parking included."
8,1,3,"user: I need a place to stay in the north please.
system: There are 13 places to stay in the north. Do you have any other criteria?
user: I don't want to have to pay for parking.
system: I have 5 different gueshouses listed. For what day and for how many please?
user: For 3 people starting on Wednesday and staying 2 nights.
system: There are 11 hotels available actually. Would you like to narrow it to a specific price range or star rating? ","user: I would like to book a guesthouse in the north with free parking for 3 people, starting on Wednesday for 2 nights. If this booking fails, please suggest a different hotel in the same price range.","user: I need a place to stay in the north please.
system: There are 13 places to stay in the north. Do you have any other criteria?
user: I don't want to have to pay for parking.
system: I have 5 different gueshouses listed. For what day and for how many please?
user: For 3 people starting on Wednesday and staying 2 nights.
system: There are 11 hotels available actually. Would you like to narrow it to a specific price range or star rating? 
user: I would like to book a guesthouse in the north with free parking for 3 people, starting on Wednesday for 2 nights. If this booking fails, please suggest a different hotel in the same price range."
9,1,4,"user: I need a place to stay in the north please.
system: There are 13 places to stay in the north. Do you have any other criteria?
user: I don't want to have to pay for parking.
system: I have 5 different gueshouses listed. For what day and for how many please?
user: For 3 people starting on Wednesday and staying 2 nights.
system: There are 11 hotels available actually. Would you like to narrow it to a specific price range or star rating? 
user: Just a guesthouse in the north with free parking. I'll need a reference number then too please.
system: I was able to get you in at Archway House. Your reference number is WUMUZ0JX. Can I help you with anything else?",user: Can I please get the price for the booking at Archway House for 3 people staying 2 nights starting from Wednesday?,"user: I need a place to stay in the north please.
system: There are 13 places to stay in the north. Do you have any other criteria?
user: I don't want to have to pay for parking.
system: I have 5 different gueshouses listed. For what day and for how many please?
user: For 3 people starting on Wednesday and staying 2 nights.
system: There are 11 hotels available actually. Would you like to narrow it to a specific price range or star rating? 
user: Just a guesthouse in the north with free parking. I'll need a reference number then too please.
system: I was able to get you in at Archway House. Your reference number is WUMUZ0JX. Can I help you with anything else?
user: Can I please get the price for the booking at Archway House for 3 people staying 2 nights starting from Wednesday?"
10,2,0,,"user: Hi, I'm looking for a hotel called Autumn House. I want to book it for 8 people for 2 nights starting from Monday. If Monday is not available, Wednesday works as well. Can you assist me with this booking and provide a reference number?","user: Hi, I'm looking for a hotel called Autumn House. I want to book it for 8 people for 2 nights starting from Monday. If Monday is not available, Wednesday works as well. Can you assist me with this booking and provide a reference number?"
11,2,1,"user: I am looking for a particular hotel. Its name is called autumn house
system: I have the Autumn House.  It is at 710 Newmarket Road.  Would you like the phone number?","user: Yes, please provide me with the phone number of Autumn House.","user: I am looking for a particular hotel. Its name is called autumn house
system: I have the Autumn House.  It is at 710 Newmarket Road.  Would you like the phone number?
user: Yes, please provide me with the phone number of Autumn House."
12,2,2,"user: I am looking for a particular hotel. Its name is called autumn house
system: I have the Autumn House.  It is at 710 Newmarket Road.  Would you like the phone number?
user: No thanks. Would you book the Autumn House for me starting on Monday, please.
system: How many people would be staying and how many days will you be staying?","user: I would like to book Autumn House for 8 people for 2 nights starting from Monday, please. If Monday is not available, then Wednesday works too.","user: I am looking for a particular hotel. Its name is called autumn house
system: I have the Autumn House.  It is at 710 Newmarket Road.  Would you like the phone number?
user: No thanks. Would you book the Autumn House for me starting on Monday, please.
system: How many people would be staying and how many days will you be staying?
user: I would like to book Autumn House for 8 people for 2 nights starting from Monday, please. If Monday is not available, then Wednesday works too."
