,dia_no,new_dia_no,old_goal,new_goal,dia
0,0,0,You are looking for a place to stay. The hotel should be in the cheap price range and should be in the type of hotel. The hotel should include free parking and should include free wifi. Once you find the hotel you want to book it for 6 people and 3 nights starting from tuesday. If the booking fails how about 2 nights. Make sure you get the reference number,You are looking for a place to stay. The hotel should be in the cheap price range and should be in the type of hotel. The hotel should include free parking. Once you find the hotel you want to book it for 6 people and 3 nights starting from tuesday. If the booking fails how about 2 nights. Make sure you get the reference number,"user: am looking for a place to to stay that has cheap price range it should be in a type of hotel
system: Okay, do you have a specific area you want to stay in?
user: no, i just need to make sure it's cheap. oh, and i need parking
system: I found 1 cheap hotel for you that includes parking. Do you like me to book it?
user: Yes, please. 6 people 3 nights starting on tuesday.
system: I am sorry but I wasn't able to book that for you for Tuesday. Is there another day you would like to stay or perhaps a shorter stay?
user: how about only 2 nights.
system: Booking was successful. Reference number is : 7GAWK763. Anything else I can do for you?
user: No, that will be all. Good bye.
system: Thank you for using our services."
1,1,1,You are looking for a place to stay. The hotel should be in the north and should include free parking. The hotel should be in the type of guesthouse. Once you find the hotel you want to book it for 3 people and 2 nights starting from wednesday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,You are looking for a place to stay. The hotel should be in the north and should include free parking. The hotel should be in the type of guesthouse. Once you find the hotel you want to book it for 3 people and 2 nights starting from wednesday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,"user: I need a place to stay in the north please.
system: There are 13 places to stay in the north. Do you have any other criteria?
user: I don't want to have to pay for parking.
system: I have 5 different gueshouses listed. For what day and for how many please?
user: For 3 people starting on Wednesday and staying 2 nights.
system: There are 11 hotels available actually. Would you like to narrow it to a specific price range or star rating? 
user: Just a guesthouse in the north with free parking. I'll need a reference number then too please.
system: I was able to get you in at Archway House. Your reference number is WUMUZ0JX. Can I help you with anything else?
user: That's all I need today. Thanks! Bye!
system: Thank you for using our system!"
2,2,2,You are looking for a particular hotel. Its name is called autumn house. Once you find the hotel you want to book it for 8 people and 2 nights starting from monday. If the booking fails how about wednesday. Make sure you get the reference number,You are looking for a particular hotel. Its name is called autumn house. Once you find the hotel you want to book it for 8 people and 2 nights starting from monday. If the booking fails how about wednesday. Make sure you get the reference number,"user: I am looking for a particular hotel. Its name is called autumn house
system: I have the Autumn House.  It is at 710 Newmarket Road.  Would you like the phone number?
user: No thanks. Would you book the Autumn House for me starting on Monday, please.
system: How many people would be staying and how many days will you be staying?
user: That's for 8 people and it's for 2 nights.
system: I'm sorry, your booking was unsuccessful. Would you like to book another day or a shorter stay?
user: Could you try Wednesday, instead?
system: Booking was successful. Reference number is : 3H0WHD4Z.
user: Thank you goodbye
system: You're welcome. Thank you for calling and goodbye."
3,3,3,You are looking for a place to stay. The hotel should be in the centre and should be in the type of hotel. The hotel should include free parking and should have a star of 3. Once you find the hotel you want to book it for 6 people and 4 nights starting from saturday. If the booking fails how about 2 nights. Make sure you get the reference number,You are looking for a place to stay. The hotel should be in the centre and should be in the type of hotel. The hotel should include free parking and should have a star of 3. Once you find the hotel you want to book it for 6 people and 4 nights starting from saturday. If the booking fails how about 2 nights. Make sure you get the reference number,"user: I'm looking for a hotel to stay at in the centre, can you look this up for me?
system: There are three hotels in the center of town. Do you prefer something moderate or expensive? 
user: Not in terms of that, but do they have free parking and have a 3 star rating?
system: The Gonville hotel has 3 stars and parking, and the University Arms hotel has 4 stars and parking. They are both expensive. Would you like more details? 
user: Okay, I'd like to book a room at the Gonville Hotel for 4 nights. There will be 6 people and we will be arriving on Saturday. 
system: I'm sorry, there are no rooms available for that length of stay.  Could you shorten your stay or book a different day possibly?
user: Yes, what about 2 nights instead of 4?
system: Sure, that worked.  You have booked 2 nights and your reference number is RU89U6V8.  Can I be of further help today?
user: No, that looks like everything.  Thanks.  Bye.
system: You're welcome. Enjoy your stay!"
4,4,4,"You are looking for a place to stay. The hotel should have a star of 4 and should be in the north. The hotel doesn't need to include internet. If there is no such hotel, how about one that has free wifi. Once you find the hotel you want to book it for 6 people and 4 nights starting from thursday. Make sure you get the reference number","You are looking for a place to stay. The hotel should have a star of 4 and should be in the north. The hotel doesn't need to include internet. If there is no such hotel, how about one that has free wifi. Once you find the hotel you want to book it for 6 people and 4 nights starting from thursday. Make sure you get the reference number","user: Hello, I am looking for a four star hotel on the north side
system: I have eight results. Do you need free parking? 
user: Not really, and I'm not really concerned with wifi either. Which one do you recommend?
system: How about Acorn Guest House? It's located at 154 Chesterton Road.
user: What is the hotel's rating?
system: It is rated 4 stars,
user: Actually, could you double check whether the Acorn has free wifi? 
system: Yes, it does. Would you like me to make a reservation for you?
user: Yes, please do. I'll be arriving Thursday. They'll be 6 of us, and we'd like to stay for 4 nights. 
system: Yes, it does.
user: OK, can you please pay attention to my questions? I need a room, please.
system: Sorry about that! You are booked at the Acorn for 4 nights, starting Thursday ref #ZUC5SZAP. Can I be of any further assistance today?
user: No that will be all. Thanks!
system: Let us know if you need anything else.Cheers."
5,5,5,You are looking for a particular hotel. Its name is called the cambridge belfry. Once you find the hotel you want to book it for 4 people and 2 nights starting from saturday. Make sure you get the reference number,You are looking for a particular hotel. Its name is called the cambridge belfry. Once you find the hotel you want to book it for 4 people and 2 nights starting from saturday. Make sure you get the reference number,"user: Could you help me find the Cambridge Belfry?
system: The Cambridge Belfry is a cheap hotel. The address is Back Lane, Cambourne and the phone number is cb236bw.
user: Thank you. Can you book it for me?
system: Of course. When would you like to stay?
user: I would like to check in on Saturday for 2 nights.  There will be 4 of us.
system: Your reservation was successfully made. The reference number is PJ9D98BY. Can I help you with anything else?
user: Nope, that's all I needed. Thank you.
system: Thank you, if you need anything else let me know.Good Bye."
6,6,6,You are looking for a particular hotel. Its name is called worth house. Make sure you get postcode,You are looking for a particular hotel. Its name is called worth house. Make sure you get postcode,"user: Hi I am looking for some info on the Worth House hotel.
system: The worth house hotel is a cheap 4 star guesthouse in the north. It provides parking and internet. The address is 152 chesterton road postcode cb41da. The phone number is 01223316074.
user: Thank you so much!
system: You're welcome. Can I make a reservation for you?
user: I'm not ready to book but I appreciate your help. Thanks!
system: You're welcome! Don't hesitate to call if you'd like to make a reservation later."
7,7,7,You are looking for a particular hotel. Its name is called rosa's bed and breakfast. Once you find the hotel you want to book it for 7 people and 3 nights starting from saturday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,You are looking for a particular hotel. Its name is called rosa's bed and breakfast. Once you find the hotel you want to book it for 7 people and 3 nights starting from saturday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,"user: I would like to know more about Rosa's b&b
system: Sure Rosa's is located on the south side of town, is in the cheap price range and is rated 4 stars.
user: Okay great. Can you book me a room for 7 people and 3 nights starting from saturday?
system: I'm sorry Rosa's does not have rooms available for those days.  Would you like to try a different hotel?
user: Yes, do you have a different cheap hotel available?
system: I have none in the same area, would a different are be okay?
user: Just please can you find a place in the same price range. I'll need a reference number please.
system: Alexander bed and breakfast was able to be booked, reference number is A36615HD.
user: Thank you so much!
system: Thank you for using our system!"
8,8,8,You are looking for a place to stay. The hotel should be in the centre and should be in the expensive price range. The hotel should be in the type of hotel. Once you find the hotel you want to book it for 5 people and 3 nights starting from saturday. Make sure you get the reference number,You are looking for a place to stay. The hotel should be in the centre and should be in the expensive price range. The hotel should be in the type of hotel. Once you find the hotel you want to book it for 5 people and 3 nights starting from saturday. Make sure you get the reference number,"user: Good afternoon, can you help me find an expensive place to stay in the town centre?
system: I sure can.  I found a 3 star hotel and a 4 star hotel.  Do you have a preference?
user: It should be a hotel type hotel not a guesthouse
system: How about the Gonville Hotel located in the centre of town is in the expensive price range?
user: Yes, that sounds good.  Could you reserve a room for 5 people checking in on Saturday?  I think we'll stay for 3 nights.
system: Booking was successful. Reference number is : KRJNYV0Q.
user: Great, thank you for your help.
system: You are very welcome! Is there anything else I can help you with?
user: No, that will be all. Thank you.
system: Thank you , good day to you."
9,9,9,You are looking for a place to stay. The hotel should have a star of 4 and should be in the type of hotel. The hotel should include free parking and should be in the cheap price range. Once you find the hotel you want to book it for 4 people and 5 nights starting from saturday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,You are looking for a place to stay. The hotel should have a star of 4 and should be in the type of hotel. The hotel should include free parking and should be in the cheap price range. Once you find the hotel you want to book it for 4 people and 5 nights starting from saturday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,"user: I would like a four star hotel. 
system: I can help you with that.  Is there a particular part of town you would like to stay in?
user: No but I need it to have free parking and cheap.
system: There are several like that. Would you like to book a room at Rosa's Bed and Breakfast, or perhaps one of the others?
user: I'm looking for a hotel type place to stay. Are any of those hotels?
system: The Cambridge belfry is a four star hotel in the cheap price range.  Would you like me to book it for you?
user: Cambridge Belfry sounds great, can I get the reference number once you make that reservation?
system: What day do you want to start your stay, for how many days, and how many people?
user: 4 people, 5 nights on saturday. If that's not available try a different one same price range.
system: I am sorry. I could not make that booking. Would you like to try another hotel?
user: Yes one that is in the same price range.
system: Autumn house is a cheap guest house in the east. Would you like me to book that for you?
user: Yes. That sounds great. Please try to book it.
system: That one was successful! Your reference number is REZ4BR01.
user: Thank you. That's all I needed today.
system: Enjoy your stay in Cambridge. Goodbye!"
