,dia_no,turn_no,context,response,dia
0,0,0,,"user: Can you suggest a budget-friendly hotel with free parking that can accommodate 6 people for 3 nights starting from Tuesday, and if that's not possible, can I book it for 2 nights instead?","user: Can you suggest a budget-friendly hotel with free parking that can accommodate 6 people for 3 nights starting from Tuesday, and if that's not possible, can I book it for 2 nights instead?"
1,0,1,"user: am looking for a place to to stay that has cheap price range it should be in a type of hotel
system: Okay, do you have a specific area you want to stay in?","user: No, I'm open to suggestions, but it has to have free parking, can you show me some options?","user: am looking for a place to to stay that has cheap price range it should be in a type of hotel
system: Okay, do you have a specific area you want to stay in?
user: No, I'm open to suggestions, but it has to have free parking, can you show me some options?"
2,0,2,"user: am looking for a place to to stay that has cheap price range it should be in a type of hotel
system: Okay, do you have a specific area you want to stay in?
user: no, i just need to make sure it's cheap. oh, and i need parking
system: I found 1 cheap hotel for you that includes parking. Do you like me to book it?","user: before you book it, can i know more about the hotel and also can you tell me if it's available for 6 people for 3 nights starting from tuesday, please?","user: am looking for a place to to stay that has cheap price range it should be in a type of hotel
system: Okay, do you have a specific area you want to stay in?
user: no, i just need to make sure it's cheap. oh, and i need parking
system: I found 1 cheap hotel for you that includes parking. Do you like me to book it?
user: before you book it, can i know more about the hotel and also can you tell me if it's available for 6 people for 3 nights starting from tuesday, please?"
3,0,3,"user: am looking for a place to to stay that has cheap price range it should be in a type of hotel
system: Okay, do you have a specific area you want to stay in?
user: no, i just need to make sure it's cheap. oh, and i need parking
system: I found 1 cheap hotel for you that includes parking. Do you like me to book it?
user: Yes, please. 6 people 3 nights starting on tuesday.
system: I am sorry but I wasn't able to book that for you for Tuesday. Is there another day you would like to stay or perhaps a shorter stay?","user: How about 2 nights starting from Tuesday, can you try to book that for me and get a reference number?","user: am looking for a place to to stay that has cheap price range it should be in a type of hotel
system: Okay, do you have a specific area you want to stay in?
user: no, i just need to make sure it's cheap. oh, and i need parking
system: I found 1 cheap hotel for you that includes parking. Do you like me to book it?
user: Yes, please. 6 people 3 nights starting on tuesday.
system: I am sorry but I wasn't able to book that for you for Tuesday. Is there another day you would like to stay or perhaps a shorter stay?
user: How about 2 nights starting from Tuesday, can you try to book that for me and get a reference number?"
4,0,4,"user: am looking for a place to to stay that has cheap price range it should be in a type of hotel
system: Okay, do you have a specific area you want to stay in?
user: no, i just need to make sure it's cheap. oh, and i need parking
system: I found 1 cheap hotel for you that includes parking. Do you like me to book it?
user: Yes, please. 6 people 3 nights starting on tuesday.
system: I am sorry but I wasn't able to book that for you for Tuesday. Is there another day you would like to stay or perhaps a shorter stay?
user: how about only 2 nights.
system: Booking was successful. Reference number is : 7GAWK763. Anything else I can do for you?",user: Can I get the hotel's name and address to ensure everything is correct with my booking?,"user: am looking for a place to to stay that has cheap price range it should be in a type of hotel
system: Okay, do you have a specific area you want to stay in?
user: no, i just need to make sure it's cheap. oh, and i need parking
system: I found 1 cheap hotel for you that includes parking. Do you like me to book it?
user: Yes, please. 6 people 3 nights starting on tuesday.
system: I am sorry but I wasn't able to book that for you for Tuesday. Is there another day you would like to stay or perhaps a shorter stay?
user: how about only 2 nights.
system: Booking was successful. Reference number is : 7GAWK763. Anything else I can do for you?
user: Can I get the hotel's name and address to ensure everything is correct with my booking?"
5,1,0,,"user: Can you suggest a few guesthouses in the north with free parking that can accommodate 3 people for 2 nights starting from Wednesday, and also let me know the price range for each option?","user: Can you suggest a few guesthouses in the north with free parking that can accommodate 3 people for 2 nights starting from Wednesday, and also let me know the price range for each option?"
6,1,1,"user: I need a place to stay in the north please.
system: There are 13 places to stay in the north. Do you have any other criteria?","user: Yes, I'm looking for a guesthouse with free parking.","user: I need a place to stay in the north please.
system: There are 13 places to stay in the north. Do you have any other criteria?
user: Yes, I'm looking for a guesthouse with free parking."
7,1,2,"user: I need a place to stay in the north please.
system: There are 13 places to stay in the north. Do you have any other criteria?
user: I don't want to have to pay for parking.
system: I have 5 different gueshouses listed. For what day and for how many please?",user: I need a guesthouse with free parking for 3 people for 2 nights starting from Wednesday.,"user: I need a place to stay in the north please.
system: There are 13 places to stay in the north. Do you have any other criteria?
user: I don't want to have to pay for parking.
system: I have 5 different gueshouses listed. For what day and for how many please?
user: I need a guesthouse with free parking for 3 people for 2 nights starting from Wednesday."
8,1,3,"user: I need a place to stay in the north please.
system: There are 13 places to stay in the north. Do you have any other criteria?
user: I don't want to have to pay for parking.
system: I have 5 different gueshouses listed. For what day and for how many please?
user: For 3 people starting on Wednesday and staying 2 nights.
system: There are 11 hotels available actually. Would you like to narrow it to a specific price range or star rating? ",user: Can you show me only the guesthouses from the 11 available that are in the same price range?,"user: I need a place to stay in the north please.
system: There are 13 places to stay in the north. Do you have any other criteria?
user: I don't want to have to pay for parking.
system: I have 5 different gueshouses listed. For what day and for how many please?
user: For 3 people starting on Wednesday and staying 2 nights.
system: There are 11 hotels available actually. Would you like to narrow it to a specific price range or star rating? 
user: Can you show me only the guesthouses from the 11 available that are in the same price range?"
9,1,4,"user: I need a place to stay in the north please.
system: There are 13 places to stay in the north. Do you have any other criteria?
user: I don't want to have to pay for parking.
system: I have 5 different gueshouses listed. For what day and for how many please?
user: For 3 people starting on Wednesday and staying 2 nights.
system: There are 11 hotels available actually. Would you like to narrow it to a specific price range or star rating? 
user: Just a guesthouse in the north with free parking. I'll need a reference number then too please.
system: I was able to get you in at Archway House. Your reference number is WUMUZ0JX. Can I help you with anything else?","user: That sounds great, but just to be safe, can you also recommend a backup option in the same price range in case the booking falls through?","user: I need a place to stay in the north please.
system: There are 13 places to stay in the north. Do you have any other criteria?
user: I don't want to have to pay for parking.
system: I have 5 different gueshouses listed. For what day and for how many please?
user: For 3 people starting on Wednesday and staying 2 nights.
system: There are 11 hotels available actually. Would you like to narrow it to a specific price range or star rating? 
user: Just a guesthouse in the north with free parking. I'll need a reference number then too please.
system: I was able to get you in at Archway House. Your reference number is WUMUZ0JX. Can I help you with anything else?
user: That sounds great, but just to be safe, can you also recommend a backup option in the same price range in case the booking falls through?"
10,2,0,,"user: Can you please help me find the Autumn House hotel and check the availability for 8 people for 2 nights starting from Monday, and if that's not possible, can I get an alternative for Wednesday instead?","user: Can you please help me find the Autumn House hotel and check the availability for 8 people for 2 nights starting from Monday, and if that's not possible, can I get an alternative for Wednesday instead?"
11,2,1,"user: I am looking for a particular hotel. Its name is called autumn house
system: I have the Autumn House.  It is at 710 Newmarket Road.  Would you like the phone number?","user: No, I don't need the phone number, can I book a room for 8 people for 2 nights starting from Monday?","user: I am looking for a particular hotel. Its name is called autumn house
system: I have the Autumn House.  It is at 710 Newmarket Road.  Would you like the phone number?
user: No, I don't need the phone number, can I book a room for 8 people for 2 nights starting from Monday?"
12,2,2,"user: I am looking for a particular hotel. Its name is called autumn house
system: I have the Autumn House.  It is at 710 Newmarket Road.  Would you like the phone number?
user: No thanks. Would you book the Autumn House for me starting on Monday, please.
system: How many people would be staying and how many days will you be staying?","user: I need to book it for 8 people and 2 nights, can you confirm the booking?","user: I am looking for a particular hotel. Its name is called autumn house
system: I have the Autumn House.  It is at 710 Newmarket Road.  Would you like the phone number?
user: No thanks. Would you book the Autumn House for me starting on Monday, please.
system: How many people would be staying and how many days will you be staying?
user: I need to book it for 8 people and 2 nights, can you confirm the booking?"
13,2,3,"user: I am looking for a particular hotel. Its name is called autumn house
system: I have the Autumn House.  It is at 710 Newmarket Road.  Would you like the phone number?
user: No thanks. Would you book the Autumn House for me starting on Monday, please.
system: How many people would be staying and how many days will you be staying?
user: That's for 8 people and it's for 2 nights.
system: I'm sorry, your booking was unsuccessful. Would you like to book another day or a shorter stay?","user: How about booking it for Wednesday instead, can you make that work and can I get a reference number for the booking?","user: I am looking for a particular hotel. Its name is called autumn house
system: I have the Autumn House.  It is at 710 Newmarket Road.  Would you like the phone number?
user: No thanks. Would you book the Autumn House for me starting on Monday, please.
system: How many people would be staying and how many days will you be staying?
user: That's for 8 people and it's for 2 nights.
system: I'm sorry, your booking was unsuccessful. Would you like to book another day or a shorter stay?
user: How about booking it for Wednesday instead, can you make that work and can I get a reference number for the booking?"
