,dia_no,dia
0,0,"user: I'm looking for a hotel in the cheap price range that includes free parking. Can you help me?
system: How many guests will be staying at the hotel?
user: It's for 6 people, and I'm looking for a type of ""hotel"", not guesthouse.
system: Understood, looking for a budget hotel for 6 guests with free parking.
user: Do you have any hotels that meet my requirements in the centre area?
system: I have found a budget hotel in the centre area that fits your criteria.
user: What is the name, address, and phone number of the hotel, and does it have internet?
system: The hotel is called [hotel name] located at [address] with [phone number], and it does have internet access.
user: Can I book this hotel for 6 people for 3 nights starting from tuesday?
system: Booking for 6 people for 3 nights starting from Tuesday at [hotel name] was unsuccessful, would you like to try for a 2-night stay instead?
user: Yes, can I book it for 6 people for 2 nights starting from tuesday?
system: Booking for 6 people for a 2-night stay starting from Tuesday at [hotel name] was successful with reference number [ref].
user: Thanks, what is the reference number for my booking?
system: Your booking reference number is [ref].
user: Thanks, I have my reference number now, goodbye! "
1,1,"user: I'm looking for a guesthouse in the north with free parking.
system: How many people will be staying at the guesthouse?
user: That's not necessary to know yet, can you tell me if there's a guesthouse in the north with free parking?
system: I have found [hotel name] in the north with free parking, may I assist you with checking availability for your preferred dates?
user: Yes, I'd like to check availability for 3 people to stay for 2 nights starting from Wednesday.
system: I will check availability for [hotel name] for 3 guests for 2 nights starting on Wednesday, would you like me to proceed with the booking request?
user: Yes, please proceed with the booking request.
system: I have successfully booked [hotel name] for 3 guests for 2 nights starting on Wednesday, your reference number is [ref].
user: Thank you, I'm all set."
2,2,"user: Hi, I'm looking for Autumn House hotel.
system: How many guests will be staying at [hotel name]?
user: It's just info about the hotel, not booking yet, I just want to know if it exists.
system: [hotel name] can accommodate up to 8 guests.
user: Can you tell me more about Autumn House, like its area, parking, and internet availability?
system: Autumn House is located in a serene area, offers free parking, and provides complimentary internet access.
user: Can I book a room for 8 people for 2 nights starting from Monday at Autumn House?
system: Unfortunately, Autumn House is fully booked starting from Monday, would booking for Wednesday work for you?
user: Yes, can I book it for Wednesday instead?
system: I have successfully booked [hotel name] for 8 guests for 2 nights starting on Wednesday."
3,3,"user: I'm looking for a hotel in the centre with free parking and 3 stars.
system: Are you looking to accommodate any specific number of guests?
user: Yes, I'm looking to book for 6 people.
system: Are you planning to stay for 4 nights starting from Saturday, or do you prefer a shorter stay?
user: Yes, I'm planning to stay for 4 nights starting from Saturday.
system: [hotel name] in the city center meets your criteria and is available for 6 people for a 4-night stay starting from Saturday, would you like to proceed with the booking?
user: Yes, I'd like to proceed with the booking, can I get the reference number?
system: Your booking at [hotel name] is successful, and your reference number is [ref].
user: Thanks, that's all I need. Have a nice day. "
4,4,"user: I'm looking for a 4-star hotel in the north.
system: How many people will be staying at the hotel?
user: I haven't decided on that yet, can you tell me if you have any 4-star hotels in the north?
system: Yes, [hotel name] is a 4-star hotel in the north without internet access.
user: Is [hotel name] a hotel that has free parking?
system: Yes, [hotel name] does offer free parking.
user: Does [hotel name] have wifi?
system: No, [hotel name] does not have wifi.
user: Does the system have any other 4-star hotels in the north that have free wifi?
system: Yes, there is a 4-star hotel in the north called [hotel name] that offers free wifi.
user: Can I book [hotel name] for 6 people and 4 nights starting from Thursday?
system: Booking was successful at [hotel name] for 6 people for 4 nights starting from Thursday. Your reference number is [ref]."
5,5,"user: I'm looking for the Cambridge Belfry hotel.
system: How many people are going to stay at the Cambridge Belfry hotel?
user: It's for 4 people.
system: For how many nights are you looking to stay at the Cambridge Belfry hotel?
user: I need it for 2 nights starting from Saturday.
system: Great! I have successfully booked the Cambridge Belfry hotel for 4 people for 2 nights starting from Saturday, and your confirmation reference number is [ref].
user: Can I have my reference number, please?
system: Your reference number for the Cambridge Belfry hotel booking is [ref].
user: What's my reference number?
system: Your reference number for the Cambridge Belfry hotel booking is [ref].
user: What's my reference number?
system: Your reference number for the Cambridge Belfry hotel booking is [ref].
user: Can you please replace [ref] with the actual reference number?
system: Your reference number for the Cambridge Belfry hotel booking is [ref]. "
6,6,"user: I'm looking for Worth House, can you provide me with its address and postcode?
system: [hotel name] is located at [address] with the postcode [postcode].
user: Can I also get the phone number of Worth House?
system: I am sorry, I don't have access to [phone number].
user: Okay, thank you for the address and postcode. I have everything I need. "
7,7,"user: I'm looking for Rosa's Bed and Breakfast. Can you help me?
system: How many people will be staying at [hotel name] and for how many nights?
user: 7 people for 3 nights starting from Saturday.
system: Let me check the availability for Rosa's Bed and Breakfast for 7 people for 3 nights starting from Saturday.
user: Can you please provide me with a booking reference number if available or suggest an alternative in the same price range if not?
system: Booking at Rosa's Bed and Breakfast for 7 people for 3 nights starting from Saturday was successful."
8,8,"user: I'm looking for a hotel in the centre with an expensive price range.
system: Would you prefer a luxury hotel for your stay in the center?
user: Yes, I'm looking for a luxury hotel, does it have free internet and parking?
system: [hotel name] in the city center offers free internet and parking for guests.
user: Can I book [hotel name] for 5 people and 3 nights starting from Saturday?
system: How many adults and children are included in the five people you mentioned?
user: All are adults.
system: I have successfully booked [hotel name] for 5 adults for 3 nights starting from Saturday, and here is your reference number: [ref].
user: Thanks, that's all I need. Have a nice day. "
9,9,"user: I'm looking for a hotel with 4 stars, free parking, and a cheap price range.
system: How many people will be staying in the hotel?
user: There will be 4 people staying in the hotel
system: What is the duration of the stay in the hotel?
user: The stay will be for 5 nights starting from Saturday.
system: Would you prefer a hotel in a specific area or are you open to any location?
user: I'm open to any location.
system: I have found a 4-star hotel in the city center with free parking that fits within the cheap price range.
user: Can I book a stay at that hotel, and can you please provide me with the reference number?
system: I have successfully booked your stay at [hotel name] and your reference number is [ref].  "
10,10,"user: Hi, I'm looking for a guesthouse with 0 stars that has free parking.
system: How many guests will be staying, and when would you like to check in?
user: I'm looking for a place to stay for 3 people, and I'd like to check in on Wednesday for 5 nights.
system: I have found [hotel name] that offers free parking, would you like to proceed with the booking?
user: Yes, please proceed with the booking, and can I have the reference number?"
11,11,"user: I'm looking for a hotel called Avalon.
system: How many people will be staying at the [hotel name]?
user: No, I haven't booked yet, I just want to know if you have the Avalon hotel.
system: Let me provide you with details about the [hotel name] such as its amenities and location.
user: Can you tell me if the Avalon hotel has internet and parking?
system: Yes, the [hotel name] does offer free internet and parking.
user: Can I book a room at the Avalon hotel for 8 people and 5 nights starting from Thursday?
system: I have successfully booked the [hotel name] for 8 people for a stay of 5 nights starting from Thursday, and your reference number is [ref].
user: Can I have the reference number, please?
system: Your reference number for the Avalon hotel booking is [ref]. "
12,12,"user: Hi, I'm looking for a hotel called El Shaddai.
system: How many people in your group will be staying at [hotel name]?
user: It's not booked yet, I just want to know if you have this hotel.
system: How many nights do you need accommodation for at [hotel name]?
user: I just want to know if El Shaddai hotel is available in your system.
system: Yes, we have availability at [hotel name].
user: I'd like to book a stay at El Shaddai for 5 people for 4 nights starting from Tuesday.
system: Could you confirm the check-in date for the booking at [hotel name]?
user: Tuesday.
system: How many rooms do you require for the booking at [hotel name]?
user: Just one room is fine, can I get the reference number for the booking?
system: Your booking at [hotel name] for 5 people for 4 nights starting from Tuesday has been confirmed with reference number [ref]. "
13,13,"user: Hi, I'm looking for a guesthouse with free parking in the moderate price range.
system: Are you looking to accommodate 3 people for 5 nights starting from Saturday?
user: Yes, that's correct! Do you have any options in the centre area?
system: I have found a guesthouse called [hotel name] in the center area with free parking in the moderate price range.
user: Can I book [hotel name] for 3 people for 5 nights starting from Saturday, and can you please provide me with a reference number?
system: Your booking at [hotel name] for 3 people for 5 nights starting from Saturday has been confirmed, and your reference number is [ref]. "
14,14,"user: I'm looking for a 4-star guesthouse in the cheap price range with free wifi.
system: In which area are you looking for this guesthouse?
user: I'm flexible with the area, just make sure it has free wifi and is in the cheap price range.
system: I have found a guesthouse meeting your criteria named [hotel name] located at [address].
user: What area is the [hotel name] located in?
system: The [hotel name] is located in Cambridge.
user: Can I have the postcode of the [hotel name]?
system: The postcode of [hotel name] is [postcode].
user: What is the area of [hotel name]?
system: [hotel name] is located in Cambridge.
user: Is the [hotel name] located in the centre of Cambridge?
system: Yes, the [hoetal name] is located in the centre of Cambridge.
user: That's all I need. Thank you. "
